area,time,pct_change_from_initial
1962,2016-05-29,0.0
2084,2016-06-18,6.218144750254842
1975,2020-05-28,0.6625891946992865
2096,2020-06-17,6.829765545361875
2118,2022-06-17,7.951070336391437
2135,2022-06-22,8.817533129459736
2039,2022-07-07,3.9245667686034658
1888,2022-07-22,3.771661569826707
2045,2022-11-04,4.230377166156982
1966,2023-06-02,0.20387359836901123
2134,2023-07-02,8.766564729867483
2065,2023-07-07,5.249745158002039
1990,2023-07-12,1.4271151885830784
1891,2023-07-17,3.6187563710499493
1806,2023-07-22,7.951070336391437
2076,2024-05-22,5.81039755351682
1931,2024-05-27,1.5800203873598369
2027,2024-06-01,3.3129459734964324
2057,2024-06-06,4.841997961264016
2083,2024-07-06,6.167176350662589
2020,2024-07-11,2.9561671763506627
1952,2024-07-16,0.509683995922528
1787,2024-07-31,8.91946992864424
