area,time,pct_change_from_initial
269,2016-06-18,0.0
280,2017-09-21,4.089219330855019
245,2017-12-10,8.921933085501859
265,2018-06-23,1.486988847583643
267,2019-06-08,0.7434944237918215
268,2019-06-13,0.37174721189591076
275,2020-06-07,2.2304832713754648
265,2020-06-17,1.486988847583643
274,2020-07-12,1.858736059479554
266,2021-05-28,1.1152416356877324
261,2021-07-02,2.973977695167286
264,2021-07-07,1.858736059479554
268,2021-08-06,0.37174721189591076
269,2021-08-11,0.0
295,2021-08-16,9.66542750929368
276,2022-04-18,2.6022304832713754
268,2022-05-03,0.37174721189591076
268,2022-06-12,0.37174721189591076
268,2022-06-17,0.37174721189591076
270,2022-06-22,0.37174721189591076
265,2022-06-27,1.486988847583643
262,2022-07-02,2.6022304832713754
264,2022-07-07,1.858736059479554
266,2022-07-22,1.1152416356877324
272,2022-08-01,1.1152416356877324
273,2022-08-16,1.486988847583643
271,2022-08-21,0.7434944237918215
278,2022-08-26,3.3457249070631967
263,2022-08-31,2.2304832713754648
266,2023-05-18,1.1152416356877324
265,2023-06-02,1.486988847583643
262,2023-06-22,2.6022304832713754
266,2023-06-27,1.1152416356877324
268,2023-07-02,0.37174721189591076
269,2023-07-07,0.0
263,2023-07-12,2.2304832713754648
270,2023-07-17,0.37174721189591076
264,2023-07-22,1.858736059479554
270,2023-07-27,0.37174721189591076
270,2023-08-01,0.37174721189591076
268,2023-08-16,0.37174721189591076
267,2023-08-21,0.7434944237918215
278,2024-02-22,3.3457249070631967
264,2024-05-12,1.858736059479554
265,2024-06-01,1.486988847583643
267,2024-06-06,0.7434944237918215
264,2024-07-06,1.858736059479554
265,2024-07-11,1.486988847583643
267,2024-07-16,0.7434944237918215
274,2024-07-31,1.858736059479554
261,2024-08-15,2.973977695167286
272,2024-09-04,1.1152416356877324
