area,time,pct_change_from_initial
1820,2016-05-29,0.0
1828,2016-06-18,0.43956043956043955
1833,2016-07-28,0.7142857142857143
1838,2018-04-19,0.9890109890109889
1834,2018-06-23,0.7692307692307693
1995,2019-05-19,9.615384615384617
1846,2019-06-08,1.4285714285714286
1835,2019-06-13,0.8241758241758242
1848,2020-05-28,1.5384615384615385
1872,2020-06-07,2.857142857142857
1824,2020-06-17,0.21978021978021978
1881,2021-06-22,3.3516483516483517
1847,2021-07-02,1.4835164835164834
1839,2021-07-07,1.0439560439560438
1836,2021-07-22,0.8791208791208791
1872,2021-07-27,2.857142857142857
1844,2021-08-06,1.3186813186813187
1830,2022-06-17,0.5494505494505495
1814,2022-07-02,0.32967032967032966
1894,2022-07-07,4.065934065934066
1840,2022-07-22,1.098901098901099
1848,2022-08-01,1.5384615384615385
1879,2022-08-26,3.2417582417582422
1864,2022-08-31,2.417582417582418
1895,2022-10-30,4.1208791208791204
1907,2022-11-04,4.78021978021978
1872,2022-12-04,2.857142857142857
1866,2023-05-18,2.5274725274725274
1849,2023-06-02,1.5934065934065933
1838,2023-06-22,0.9890109890109889
1815,2023-06-27,0.27472527472527475
1836,2023-07-02,0.8791208791208791
1829,2023-07-07,0.49450549450549447
1844,2023-07-12,1.3186813186813187
1831,2023-07-17,0.6043956043956045
1848,2023-07-22,1.5384615384615385
1840,2023-07-27,1.098901098901099
1809,2023-08-01,0.6043956043956045
1843,2023-08-16,1.2637362637362637
1861,2023-08-21,2.2527472527472527
1868,2024-05-12,2.6373626373626373
1855,2024-05-22,1.9230769230769231
1906,2024-05-27,4.725274725274725
1850,2024-06-01,1.6483516483516485
1888,2024-06-06,3.7362637362637363
1853,2024-07-06,1.8131868131868134
1846,2024-07-11,1.4285714285714286
1856,2024-07-16,1.9780219780219779
1872,2024-07-31,2.857142857142857
1867,2024-08-15,2.582417582417582
1888,2024-09-04,3.7362637362637363
1906,2024-09-14,4.725274725274725
