area,time,pct_change_from_initial
318,2016-05-29,0.0
327,2016-06-18,2.8301886792452833
323,2016-07-28,1.5723270440251573
322,2018-04-19,1.257861635220126
327,2018-06-23,2.8301886792452833
319,2019-05-19,0.3144654088050315
327,2019-06-08,2.8301886792452833
327,2019-06-13,2.8301886792452833
315,2020-05-28,0.9433962264150944
312,2020-06-07,1.8867924528301887
314,2020-06-17,1.257861635220126
320,2021-05-28,0.628930817610063
307,2021-06-22,3.459119496855346
320,2021-07-02,0.628930817610063
319,2021-07-07,0.3144654088050315
334,2021-07-22,5.031446540880504
331,2021-08-06,4.088050314465408
317,2022-06-17,0.3144654088050315
327,2022-06-22,2.8301886792452833
317,2022-06-27,0.3144654088050315
324,2022-07-02,1.8867924528301887
332,2022-07-07,4.40251572327044
328,2022-07-22,3.1446540880503147
323,2022-08-01,1.5723270440251573
325,2022-08-26,2.20125786163522
341,2022-08-31,7.232704402515723
328,2022-10-30,3.1446540880503147
332,2022-11-04,4.40251572327044
336,2022-12-04,5.660377358490567
319,2023-06-02,0.3144654088050315
330,2023-06-22,3.7735849056603774
332,2023-06-27,4.40251572327044
330,2023-07-02,3.7735849056603774
330,2023-07-07,3.7735849056603774
344,2023-07-12,8.176100628930817
333,2023-07-17,4.716981132075472
327,2023-07-22,2.8301886792452833
333,2023-08-01,4.716981132075472
320,2023-08-16,0.628930817610063
330,2023-08-21,3.7735849056603774
319,2024-05-12,0.3144654088050315
330,2024-05-22,3.7735849056603774
305,2024-05-27,4.088050314465408
326,2024-06-01,2.515723270440252
318,2024-06-06,0.0
317,2024-07-06,0.3144654088050315
315,2024-07-11,0.9433962264150944
329,2024-07-16,3.459119496855346
323,2024-07-31,1.5723270440251573
323,2024-08-15,1.5723270440251573
337,2024-09-04,5.9748427672955975
342,2024-09-14,7.547169811320755
