area,time,pct_change_from_initial
100,2016-06-18,0.0
95,2018-06-23,5.0
96,2019-06-08,4.0
103,2019-06-13,3.0
100,2021-05-28,0.0
97,2021-07-07,3.0
106,2021-08-11,6.0
100,2021-08-16,0.0
99,2022-06-17,1.0
93,2022-06-27,7.000000000000001
96,2022-07-02,4.0
97,2022-07-07,3.0
97,2022-07-22,3.0
96,2022-08-01,4.0
104,2022-08-16,4.0
106,2022-08-21,6.0
110,2022-08-26,10.0
110,2022-08-31,10.0
110,2022-10-30,10.0
105,2023-06-02,5.0
102,2023-06-22,2.0
99,2023-06-27,1.0
101,2023-07-02,1.0
102,2023-07-07,2.0
101,2023-07-12,1.0
98,2023-07-17,2.0
102,2023-07-22,2.0
102,2023-07-27,2.0
100,2023-08-01,0.0
100,2023-08-21,0.0
101,2024-05-12,1.0
104,2024-06-01,4.0
107,2024-07-06,7.000000000000001
102,2024-07-11,2.0
100,2024-07-16,0.0
96,2024-07-31,4.0
97,2024-08-15,3.0
101,2024-09-04,1.0
