area,time,pct_change_from_initial
1012,2016-06-18,0.0
966,2017-06-13,4.545454545454546
967,2019-06-08,4.446640316205533
969,2019-06-13,4.24901185770751
1088,2020-06-07,7.5098814229249005
988,2021-05-28,2.371541501976284
1025,2021-07-02,1.2845849802371543
975,2021-07-07,3.6561264822134385
943,2021-08-06,6.8181818181818175
1029,2021-08-11,1.6798418972332017
1113,2021-08-16,9.980237154150199
988,2022-04-18,2.371541501976284
1089,2022-06-12,7.608695652173914
983,2022-06-17,2.8656126482213438
1035,2022-06-27,2.272727272727273
965,2022-07-02,4.644268774703558
926,2022-07-07,8.49802371541502
961,2022-07-22,5.0395256916996045
922,2022-08-26,8.893280632411066
1054,2022-08-31,4.150197628458498
1045,2022-12-04,3.260869565217391
1008,2023-06-02,0.3952569169960474
1022,2023-06-22,0.9881422924901186
990,2023-06-27,2.1739130434782608
981,2023-07-07,3.0632411067193677
1006,2023-07-22,0.592885375494071
1001,2023-08-01,1.0869565217391304
1024,2023-08-16,1.185770750988142
1025,2023-08-21,1.2845849802371543
1060,2024-02-22,4.743083003952568
1005,2024-06-01,0.691699604743083
995,2024-06-06,1.6798418972332017
995,2024-07-11,1.6798418972332017
1004,2024-07-16,0.7905138339920948
920,2024-09-04,9.090909090909092
