area,time,pct_change_from_initial
1765,2016-06-18,0.0
1695,2017-06-13,3.9660056657223794
1759,2017-09-21,0.33994334277620397
1711,2017-12-10,3.059490084985836
1715,2018-06-23,2.8328611898017
1687,2019-06-08,4.419263456090651
1736,2019-06-13,1.643059490084986
1743,2020-06-07,1.246458923512748
1722,2020-06-17,2.4362606232294617
1683,2020-07-12,4.645892351274788
1709,2021-07-02,3.1728045325779037
1729,2021-07-07,2.039660056657224
1692,2021-08-06,4.135977337110481
1713,2021-08-11,2.9461756373937678
1720,2021-08-16,2.5495750708215295
1591,2022-01-03,9.858356940509914
1669,2022-04-18,5.4390934844192635
1764,2022-05-03,0.05665722379603399
1797,2022-06-12,1.8130311614730876
1742,2022-06-17,1.3031161473087818
1717,2022-06-22,2.7195467422096318
1695,2022-07-02,3.9660056657223794
1712,2022-07-07,3.002832861189802
1724,2022-07-22,2.322946175637394
1714,2022-08-01,2.8895184135977336
1699,2022-08-16,3.7393767705382435
1678,2022-08-21,4.929178470254957
1685,2022-08-26,4.53257790368272
1683,2022-08-31,4.645892351274788
1649,2022-10-30,6.572237960339944
1742,2022-11-04,1.3031161473087818
1699,2022-12-04,3.7393767705382435
1685,2023-01-13,4.53257790368272
1752,2023-05-18,0.7365439093484419
1709,2023-06-02,3.1728045325779037
1753,2023-06-22,0.6798866855524079
1730,2023-06-27,1.9830028328611897
1722,2023-07-02,2.4362606232294617
1717,2023-07-07,2.7195467422096318
1723,2023-07-12,2.379603399433428
1724,2023-07-17,2.322946175637394
1713,2023-07-22,2.9461756373937678
1727,2023-07-27,2.152974504249292
1695,2023-08-01,3.9660056657223794
1691,2023-08-16,4.192634560906516
1669,2023-08-21,5.4390934844192635
1725,2024-02-22,2.26628895184136
1801,2024-05-12,2.039660056657224
1761,2024-05-22,0.22662889518413595
1737,2024-06-01,1.5864022662889519
1695,2024-06-06,3.9660056657223794
1738,2024-07-06,1.529745042492918
1758,2024-07-11,0.39660056657223797
1753,2024-07-16,0.6798866855524079
1751,2024-07-31,0.7932011331444759
1751,2024-08-15,0.7932011331444759
1752,2024-09-04,0.7365439093484419
1676,2024-10-19,5.042492917847025
