area,time,pct_change_from_initial
4112,2016-05-29,0.0
4080,2016-06-18,0.7782101167315175
4078,2016-07-28,0.8268482490272374
4373,2018-04-19,6.347276264591439
4019,2018-06-23,2.2616731517509727
4104,2019-05-19,0.19455252918287938
4046,2019-06-08,1.6050583657587547
4040,2019-06-13,1.7509727626459144
4084,2020-05-28,0.6809338521400778
4051,2020-06-17,1.483463035019455
3957,2021-07-02,3.769455252918288
4038,2021-07-07,1.799610894941634
3989,2021-07-27,2.9912451361867705
3990,2021-08-06,2.96692607003891
4045,2022-06-17,1.629377431906615
4098,2022-06-22,0.3404669260700389
4018,2022-07-02,2.2859922178988326
4024,2022-07-22,2.140077821011673
4028,2022-08-01,2.0428015564202333
3935,2022-08-26,4.304474708171206
4069,2022-08-31,1.0457198443579765
4041,2022-10-30,1.7266536964980546
4079,2022-11-04,0.8025291828793774
4060,2022-12-04,1.264591439688716
4070,2023-05-18,1.0214007782101167
4056,2023-06-02,1.3618677042801557
4042,2023-06-22,1.7023346303501945
4026,2023-06-27,2.091439688715953
4013,2023-07-02,2.4075875486381326
4021,2023-07-07,2.213035019455253
4030,2023-07-12,1.9941634241245134
4017,2023-07-17,2.310311284046693
4015,2023-07-22,2.3589494163424125
4035,2023-07-27,1.872568093385214
4041,2023-08-01,1.7266536964980546
3996,2023-08-16,2.821011673151751
4041,2023-08-21,1.7266536964980546
4108,2024-05-12,0.09727626459143969
4070,2024-05-27,1.0214007782101167
4080,2024-06-01,0.7782101167315175
4064,2024-07-11,1.1673151750972763
4059,2024-07-16,1.2889105058365757
4034,2024-07-31,1.8968871595330739
4077,2024-08-15,0.8511673151750972
4074,2024-09-04,0.9241245136186771
4122,2024-09-14,0.24319066147859922
