area,time,pct_change_from_initial
160,2016-05-29,0.0
166,2016-06-18,3.75
144,2016-07-28,10.0
154,2018-04-19,3.75
166,2018-06-23,3.75
158,2019-05-19,1.25
171,2019-06-08,6.875000000000001
165,2020-05-28,3.125
175,2020-06-07,9.375
162,2021-07-22,1.25
157,2021-07-27,1.875
174,2021-08-06,8.75
175,2022-07-02,9.375
172,2022-07-07,7.5
172,2022-07-22,7.5
168,2022-08-01,5.0
156,2022-08-26,2.5
158,2022-08-31,1.25
160,2022-10-30,0.0
157,2022-11-04,1.875
166,2023-06-27,3.75
173,2023-07-02,8.125
164,2023-07-07,2.5
157,2023-07-17,1.875
151,2023-07-22,5.625
161,2023-07-27,0.625
157,2023-08-01,1.875
166,2023-08-16,3.75
152,2023-08-21,5.0
144,2024-05-12,10.0
157,2024-05-22,1.875
166,2024-06-01,3.75
160,2024-06-06,0.0
153,2024-07-06,4.375
153,2024-07-11,4.375
159,2024-07-16,0.625
148,2024-07-31,7.5
148,2024-08-15,7.5
156,2024-09-04,2.5
147,2024-09-14,8.125
