area,time,pct_change_from_initial
1830,2016-06-18,0.0
1757,2018-06-23,3.989071038251366
1654,2020-06-07,9.617486338797814
1763,2021-05-28,3.66120218579235
1773,2021-07-02,3.114754098360656
1918,2021-07-07,4.808743169398907
1741,2021-08-06,4.863387978142077
1779,2021-08-11,2.7868852459016393
1900,2022-04-18,3.825136612021858
1813,2022-05-03,0.9289617486338797
1854,2022-06-17,1.3114754098360655
1836,2022-06-22,0.32786885245901637
1785,2022-07-02,2.459016393442623
1761,2022-07-07,3.7704918032786887
1749,2022-07-22,4.426229508196721
1963,2022-08-01,7.267759562841531
1998,2022-08-16,9.180327868852459
1955,2022-08-21,6.830601092896176
1842,2023-06-22,0.6557377049180327
1669,2023-06-27,8.797814207650273
1685,2023-07-02,7.923497267759563
1803,2023-07-07,1.4754098360655739
1793,2023-07-12,2.021857923497268
1836,2023-07-17,0.32786885245901637
2003,2023-07-22,9.453551912568306
1903,2023-08-01,3.989071038251366
1890,2023-08-16,3.278688524590164
1940,2024-02-22,6.0109289617486334
1655,2024-07-16,9.562841530054644
