area,time,pct_change_from_initial
410,2016-06-18,0.0
407,2017-09-21,0.7317073170731708
410,2018-06-23,0.0
448,2019-06-08,9.268292682926829
414,2019-06-13,0.975609756097561
426,2020-06-07,3.902439024390244
402,2020-06-17,1.951219512195122
432,2021-07-02,5.365853658536586
443,2021-07-07,8.048780487804878
422,2021-08-11,2.9268292682926833
416,2022-04-18,1.4634146341463417
443,2022-05-03,8.048780487804878
431,2022-06-12,5.121951219512195
393,2022-06-17,4.146341463414634
411,2022-06-22,0.24390243902439024
403,2022-07-02,1.707317073170732
384,2022-07-07,6.341463414634147
417,2022-07-22,1.707317073170732
433,2022-08-01,5.609756097560976
413,2022-08-16,0.7317073170731708
413,2022-08-26,0.7317073170731708
427,2022-12-04,4.146341463414634
446,2023-05-18,8.780487804878048
396,2023-06-02,3.414634146341464
417,2023-06-22,1.707317073170732
403,2023-06-27,1.707317073170732
418,2023-07-02,1.951219512195122
430,2023-07-07,4.878048780487805
409,2023-07-12,0.24390243902439024
410,2023-07-17,0.0
398,2023-07-22,2.9268292682926833
410,2023-07-27,0.0
419,2023-08-01,2.195121951219512
419,2023-08-16,2.195121951219512
392,2023-08-21,4.390243902439024
439,2024-02-22,7.073170731707316
438,2024-05-12,6.829268292682928
414,2024-06-01,0.975609756097561
429,2024-06-06,4.634146341463414
438,2024-07-06,6.829268292682928
434,2024-07-11,5.853658536585367
419,2024-07-16,2.195121951219512
