area,time,pct_change_from_initial
906,2016-05-29,0.0
964,2016-06-18,6.401766004415011
963,2018-06-23,6.291390728476822
991,2019-05-19,9.381898454746135
951,2019-06-08,4.966887417218543
926,2019-06-13,2.207505518763797
995,2020-05-28,9.823399558498897
976,2020-06-07,7.72626931567329
976,2021-06-22,7.72626931567329
965,2021-07-02,6.512141280353201
958,2021-07-07,5.739514348785872
930,2021-07-27,2.6490066225165565
972,2022-06-17,7.28476821192053
921,2022-06-22,1.6556291390728477
865,2022-07-02,4.525386313465784
840,2022-07-07,7.28476821192053
879,2022-11-04,2.980132450331126
945,2022-12-04,4.304635761589404
994,2023-05-18,9.713024282560706
856,2023-06-02,5.518763796909492
920,2023-06-22,1.545253863134658
897,2023-06-27,0.9933774834437087
850,2023-07-02,6.181015452538632
822,2023-07-07,9.271523178807946
991,2024-05-12,9.381898454746135
854,2024-06-01,5.739514348785872
958,2024-06-06,5.739514348785872
