roi_id,date_init,date_last,area_init,area_last,abs_pct_change,object_id,centroid_lat,centroid_lon
11,2016-05-29,2024-05-27,1056,1009,4.450757575757576,5,138,313
11,2016-05-29,2024-05-27,1054,1067,1.2333965844402277,6,27,211
11,2016-05-29,2024-05-27,961,971,1.040582726326743,7,400,559
11,2016-05-29,2024-05-27,966,953,1.3457556935817805,8,482,204
11,2016-05-29,2024-05-27,548,556,1.45985401459854,9,362,260
12,2016-05-29,2024-05-27,673,695,3.268945022288262,1,318,321
12,2016-05-29,2024-05-27,539,562,4.267161410018553,2,602,387
12,2016-05-29,2024-05-27,285,296,3.8596491228070176,3,331,435
14,2016-05-29,2024-05-27,3265,3317,1.5926493108728943,2,154,297
14,2016-05-29,2024-05-27,3035,3049,0.4612850082372323,3,304,192
14,2016-05-29,2024-05-27,163,164,0.6134969325153374,4,444,319
15,2016-05-29,2024-05-27,527,534,1.3282732447817838,1,419,20
16,2016-05-29,2024-07-16,2427,2390,1.5245158632056035,1,550,339
17,2016-05-29,2024-05-27,889,923,3.824521934758155,2,98,123
18,2016-05-29,2024-05-27,4192,4269,1.8368320610687023,1,124,24
18,2016-05-29,2024-06-06,155,157,1.2903225806451613,2,3,204
18,2016-05-29,2024-05-27,143,137,4.195804195804196,3,527,24
19,2016-05-29,2024-05-27,6222,6266,0.7071681131468981,1,44,355
19,2016-05-29,2024-05-27,529,528,0.1890359168241966,3,305,75
19,2016-05-29,2024-05-27,445,428,3.820224719101124,4,142,610
20,2016-05-29,2024-05-12,2477,2463,0.5651998385143319,1,493,126
20,2016-05-29,2024-05-12,1497,1553,3.740814963259853,2,413,166
20,2016-05-29,2024-05-12,494,514,4.048582995951417,3,381,14
20,2016-05-29,2024-05-27,198,202,2.0202020202020203,4,354,6
20,2016-05-29,2024-05-12,159,152,4.40251572327044,5,583,512
21,2016-05-29,2024-05-27,503,509,1.1928429423459244,1,57,405
21,2016-05-29,2024-05-27,255,271,6.2745098039215685,2,34,293
22,2016-05-29,2024-05-27,1693,1710,1.004134672179563,1,593,182
23,2016-05-29,2024-05-27,1626,1587,2.3985239852398523,3,65,586
23,2016-05-29,2024-05-22,900,824,8.444444444444445,4,457,7
24,2016-05-29,2024-05-27,24872,26251,5.544387,1,326,261
24,2016-05-29,2024-05-27,295,308,4.406779661016949,2,160,115
24,2016-05-29,2024-05-27,352,336,4.545455,3,10,226
24,2016-05-29,2024-05-27,178,177,0.561798,4,165,591
25,2016-05-29,2024-05-27,5561,5612,0.9171012407840315,1,472,25
25,2016-05-29,2024-05-27,267,259,2.9962546816479403,3,170,420
25,2016-05-29,2024-05-27,159,157,1.257861635220126,5,72,451
25,2016-05-29,2024-05-22,102,111,8.823529411764707,6,237,348
26,2016-05-29,2024-05-27,1262,1295,2.614896988906497,1,486,605
27,2016-05-29,2024-05-22,4583,4568,0.327296530656775,1,275,287
27,2016-05-29,2024-05-27,1708,1767,3.454332552693208,2,104,586
27,2016-05-29,2024-05-27,258,249,3.488372093023256,3,267,65
